City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Pevek,69.7008,170.3133,19.71,75,100,6.13,RU,2022-04-26 16:38:33
68,Atuona,-9.8,-139.0333,79.25,74,30,23.04,PF,2022-04-26 16:38:04
69,Nhulunbuy,-12.2333,136.7667,75.81,94,49,0.0,AU,2022-04-26 16:38:34
70,Punta Arenas,-53.15,-70.9167,41.11,65,75,5.75,CL,2022-04-26 16:33:34
71,Upernavik,72.7868,-56.1549,28.54,68,74,5.86,GL,2022-04-26 16:38:34
72,Dikson,73.5069,80.5464,-1.53,98,92,9.06,RU,2022-04-26 16:38:34
73,Codrington,-38.2667,141.9667,60.51,72,100,6.11,AU,2022-04-26 16:38:35
74,East London,-33.0153,27.9116,65.41,70,21,18.12,ZA,2022-04-26 16:38:35
75,Longyearbyen,78.2186,15.6401,3.04,60,40,10.36,SJ,2022-04-26 16:38:35
76,Jaguey Grande,22.5269,-81.1286,91.18,33,1,9.82,CU,2022-04-26 16:38:35
77,Maumere,-8.6199,122.2111,77.88,66,98,3.18,ID,2022-04-26 16:38:36
78,Scarborough,54.2797,-0.4044,47.79,78,70,4.0,GB,2022-04-26 16:34:41
79,Port-Gentil,-0.7193,8.7815,85.96,74,40,8.05,GA,2022-04-26 16:38:36
80,Stanislav,46.5691,32.1478,55.63,73,4,10.02,UA,2022-04-26 16:38:36
81,Raga,8.4596,25.678,91.9,22,78,4.41,SS,2022-04-26 16:38:37
82,Springbok,-29.6643,17.8865,63.12,17,0,9.35,ZA,2022-04-26 16:38:37
83,Petropavlovka,50.6114,105.3196,33.26,45,98,4.45,RU,2022-04-26 16:38:37
84,Berlevag,70.8578,29.0864,19.4,81,100,35.93,NO,2022-04-26 16:38:38
85,Saurimo,-9.6608,20.3916,70.83,79,92,2.33,AO,2022-04-26 16:38:38
86,Puerto Ayora,-0.7393,-90.3518,78.76,75,7,8.59,EC,2022-04-26 16:38:38
87,Atar,20.5169,-13.0499,88.09,18,0,14.79,MR,2022-04-26 16:38:39
88,Coquimbo,-29.9533,-71.3436,60.53,82,40,6.91,CL,2022-04-26 16:38:39
89,Barra Patuca,15.8,-84.2833,82.15,73,56,7.05,HN,2022-04-26 16:38:39
90,Rancho Palos Verdes,33.7445,-118.387,72.61,72,75,4.0,US,2022-04-26 16:33:49
91,Port Elizabeth,-33.918,25.5701,62.1,88,20,17.27,ZA,2022-04-26 16:38:40
92,Port Blair,11.6667,92.75,82.44,89,40,2.3,IN,2022-04-26 16:38:13
93,Bambous Virieux,-20.3428,57.7575,77.25,78,40,11.5,MU,2022-04-26 16:38:40
94,Ponta Do Sol,32.6667,-17.1,68.72,64,48,7.65,PT,2022-04-26 16:39:25
95,Abonnema,4.7084,6.7931,84.9,65,94,11.1,NG,2022-04-26 16:39:40
96,Cape Town,-33.9258,18.4232,64.11,67,0,19.57,ZA,2022-04-26 16:39:41
97,Castro,-24.7911,-50.0119,79.32,52,88,5.91,BR,2022-04-26 16:39:41
98,Saquarema,-22.92,-42.5103,84.34,72,1,13.2,BR,2022-04-26 16:39:41
99,Paita,-5.0892,-81.1144,74.23,70,21,12.33,PE,2022-04-26 16:39:42
100,Santa Rosa,14.3122,121.1114,84.18,77,18,10.07,PH,2022-04-26 16:35:37
101,Kishi,9.0833,3.85,95.49,27,95,2.39,NG,2022-04-26 16:39:42
102,Bluff,-46.6,168.3333,52.81,77,44,10.8,NZ,2022-04-26 16:39:35
103,Egvekinot,66.3167,-179.1667,13.12,84,97,6.51,RU,2022-04-26 16:39:42
104,Mahebourg,-20.4081,57.7,77.29,78,40,11.5,MU,2022-04-26 16:39:43
105,Nanortalik,60.1432,-45.2371,35.33,90,100,1.45,GL,2022-04-26 16:39:43
106,Haines Junction,60.7522,-137.5108,44.55,53,100,2.3,CA,2022-04-26 16:39:43
107,Port Lincoln,-34.7333,135.8667,61.88,87,75,6.2,AU,2022-04-26 16:39:44
108,Deputatskiy,69.3,139.9,-2.72,100,97,2.42,RU,2022-04-26 16:39:44
109,Ormara,25.2088,64.6357,81.93,84,0,15.64,PK,2022-04-26 16:39:44
110,Skara,58.3866,13.4384,49.23,42,98,1.99,SE,2022-04-26 16:39:44
111,Saskylakh,71.9167,114.0833,-5.15,99,95,3.38,RU,2022-04-26 16:39:45
112,Saint-Pierre,-21.3393,55.4781,74.28,79,0,3.44,RE,2022-04-26 16:36:02
113,Lewiston,44.1003,-70.2148,60.73,56,40,6.91,US,2022-04-26 16:39:45
114,Shenjiamen,29.9576,122.298,57.67,94,100,11.81,CN,2022-04-26 16:39:45
115,Birao,10.2849,22.7882,94.86,19,52,3.78,CF,2022-04-26 16:39:46
116,Babushkin,51.7122,105.8647,25.38,81,19,5.55,RU,2022-04-26 16:39:46
