City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
172,Point Fortin,TT,86.86,96,10.1833,-61.6833,Jus Les' Suites
174,Oriximina,BR,84.52,65,-1.7656,-55.8661,Pousada Tia Amélia
178,Sao Jose Do Egito,BR,81.9,61,-7.4789,-37.2744,Fênix Hotel e Restaurante Sabor do Pajeú
179,Benjamin Hill,MX,83.57,7,30.1667,-111.1,Hotel Benjamín Hill
183,Komsomolskiy,UZ,68.72,100,40.4272,71.7189,Ikathouse
184,Ugoofaaru,MV,85.28,93,5.6667,73.0,Ungoofaaru Inn
185,Bijela,BA,70.45,26,43.6086,17.9519,Garden City Konjic
186,San Patricio,US,73.26,100,28.017,-97.5169,"Motel 6 Sinton, TX"
188,Lazaro Cardenas,MX,84.02,5,17.9583,-102.2,HOTEL QUINTA ANTIGUA
194,Ilhabela,BR,80.01,26,-23.7781,-45.3581,Ilha Flat Hotel
197,Artigas,UY,79.77,66,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
200,Panama City,PA,92.28,40,8.9936,-79.5197,Trump International Hotel & Tower Panama
201,Torit,SS,80.69,80,4.4133,32.5678,Diplomat Guest House
202,Vanimo,PG,78.85,98,-2.6741,141.3028,Vahmoneh Lodge Vanimo
205,Bowen,AU,75.38,87,-20.0167,148.2333,Castle Motor Lodge Motel
208,Liwale,TZ,69.64,100,-9.7667,37.9333,Nakivubo Executive Lodge
210,Karratha,AU,80.65,100,-20.7377,116.8463,ibis Styles Karratha
214,Mitsamiouli,KM,81.12,52,-11.3847,43.2844,Foyer ADM
215,Pundaguitan,PH,81.86,100,6.3711,126.1689,Leonardo Family Beach House 1
223,Ilam,NP,68.29,3,26.9167,87.9167,चियाबारी कटेज
224,Kawalu,ID,74.86,100,-7.3817,108.2082,West Jontor
225,Ostuacan,MX,84.24,21,17.4167,-93.3,HACIENDA JUAREZ
226,Terra Santa,BR,84.42,77,-2.1042,-56.4869,Hotel Sarah
227,Dingle,PH,78.4,100,10.9995,122.6711,SEGAYA PROPERTY
231,Waingapu,ID,76.1,99,-9.6567,120.2641,Pondok Wisata Elim
232,Samana,DO,84.42,40,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
236,Hambantota,LK,81.61,20,6.1241,81.1185,Bungalow 63
237,Ixtapa,MX,88.0,0,20.7,-105.2,hotel la terminal
238,Ploemeur,FR,65.82,0,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
239,Sao Filipe,CV,76.17,45,14.8961,-24.4956,Hotel Xaguate
240,La Palma,US,78.49,75,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
241,Houma,US,75.99,100,29.5958,-90.7195,Courtyard by Marriott Houma
242,Galesong,ID,77.02,97,-5.3166,119.3661,Sapriadi Appy
246,Nileshwar,IN,83.86,9,12.25,75.1,Neeleshwar Hermitage
247,Hue,VN,82.51,20,16.4667,107.6,Saigon Morin Hotel
249,Nouadhibou,MR,71.58,0,20.931,-17.0347,El Medina
250,El Tigre,VE,86.92,98,8.8875,-64.2454,Hotel Santa Cruz
251,Vao,NC,73.71,100,-22.6667,167.4833,Hotel Kou-Bugny
255,Do Gonbadan,IR,77.09,40,30.3586,50.7981,شبکه بهداشت و درمان گچساران
257,Antalaha,MG,74.07,40,-14.9003,50.2788,Hotel Vitasoa
259,Tura,IN,74.64,0,25.5198,90.2201,Hotel RIKMAN Continental
260,Ibra,OM,85.96,56,22.6906,58.5334,مزرعة راحة النفوس المنزفة
262,Khuzdar,PK,83.91,29,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
264,Acajutla,SV,87.82,43,13.5928,-89.8275,Laureles
266,Chipata,ZM,66.69,75,-13.6333,32.65,Protea Hotel by Marriott Chipata
272,Luena,AO,69.98,97,-11.7833,19.9167,Hotel Kandamba
275,Isangel,VU,74.46,100,-19.55,169.2667,Tanna Lodge
276,Awbari,LY,93.76,100,26.5921,12.7805,فندق أوباري
278,Sola,VU,81.18,97,-13.8833,167.55,Leumerus Bungalows
280,Saldanha,ZA,66.25,0,-33.0117,17.9442,Blue Bay Lodge
